pf, N, m, T, sigma, cut, g_sigma, error, RDF_CS, RDF_LJ
1.500e-01, 3.000e+03, 1.000e+00, 1.800e+00, 1.000e+00, 4.500e+00, 1.738e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 1.900e+00, 1.000e+00, 4.500e+00, 1.684e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 2.000e+00, 1.000e+00, 4.500e+00, 1.651e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 2.100e+00, 1.000e+00, 4.500e+00, 1.625e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 2.200e+00, 1.000e+00, 4.500e+00, 1.612e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 2.300e+00, 1.000e+00, 4.500e+00, 1.574e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 2.400e+00, 1.000e+00, 4.500e+00, 1.568e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 2.500e+00, 1.000e+00, 4.500e+00, 1.546e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 2.600e+00, 1.000e+00, 4.500e+00, 1.529e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 2.700e+00, 1.000e+00, 4.500e+00, 1.520e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 2.800e+00, 1.000e+00, 4.500e+00, 1.512e+00, 0.000e+00, 1.506e+00, 1.393e+00
1.500e-01, 3.000e+03, 1.000e+00, 2.900e+00, 1.000e+00, 4.500e+00, 1.499e+00, 0.000e+00, 1.506e+00, 1.393e+00
