pf, N, m, T, sigma, cut, Z, error, EOS_CS, EOS_kolafa, EOS_gottschalk, EOS_thol, EOS_mecke, EOS_hess
5.000e-02, 6.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 1.022e+00, 2.431e-03, 1.227e+00, 1.038e+00, 1.030e+00, 1.014e+00, 1.056e+00, 1.046e+00
7.500e-02, 6.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 1.046e+00, 3.067e-03, 1.365e+00, 1.079e+00, 1.061e+00, 1.022e+00, 1.108e+00, 1.100e+00
1.000e-01, 6.000e+03, 1.000e+00, 3.500e+00, 1.000e+00, 4.500e+00, 1.078e+00, 9.573e-04, 1.521e+00, 1.139e+00, 1.105e+00, 1.030e+00, 1.179e+00, 1.180e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.600e+00, 1.000e+00, 4.500e+00, 1.009e+00, 1.272e-03, 1.107e+00, 1.015e+00, 1.017e+00, 1.007e+00, 1.023e+00, 1.021e+00
5.000e-02, 6.000e+03, 1.000e+00, 3.600e+00, 1.000e+00, 4.500e+00, 1.026e+00, 1.545e-03, 1.227e+00, 1.043e+00, 1.044e+00, 1.015e+00, 1.061e+00, 1.060e+00
7.500e-02, 6.000e+03, 1.000e+00, 3.600e+00, 1.000e+00, 4.500e+00, 1.052e+00, 5.530e-03, 1.365e+00, 1.087e+00, 1.082e+00, 1.023e+00, 1.115e+00, 1.122e+00
1.000e-01, 6.000e+03, 1.000e+00, 3.600e+00, 1.000e+00, 4.500e+00, 1.088e+00, 4.243e-03, 1.521e+00, 1.149e+00, 1.132e+00, 1.032e+00, 1.188e+00, 1.209e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.700e+00, 1.000e+00, 4.500e+00, 1.012e+00, 9.208e-04, 1.107e+00, 1.018e+00, 1.024e+00, 1.007e+00, 1.025e+00, 1.028e+00
5.000e-02, 6.000e+03, 1.000e+00, 3.700e+00, 1.000e+00, 4.500e+00, 1.031e+00, 1.531e-03, 1.227e+00, 1.048e+00, 1.058e+00, 1.016e+00, 1.065e+00, 1.075e+00
7.500e-02, 6.000e+03, 1.000e+00, 3.700e+00, 1.000e+00, 4.500e+00, 1.058e+00, 1.285e-03, 1.365e+00, 1.094e+00, 1.103e+00, 1.024e+00, 1.122e+00, 1.143e+00
1.000e-01, 6.000e+03, 1.000e+00, 3.700e+00, 1.000e+00, 4.500e+00, 1.094e+00, 1.588e-03, 1.521e+00, 1.159e+00, 1.159e+00, 1.034e+00, 1.197e+00, 1.238e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.800e+00, 1.000e+00, 4.500e+00, 1.013e+00, 1.439e-03, 1.107e+00, 1.020e+00, 1.031e+00, 1.008e+00, 1.028e+00, 1.035e+00
5.000e-02, 6.000e+03, 1.000e+00, 3.800e+00, 1.000e+00, 4.500e+00, 1.034e+00, 1.899e-03, 1.227e+00, 1.052e+00, 1.072e+00, 1.016e+00, 1.070e+00, 1.089e+00
7.500e-02, 6.000e+03, 1.000e+00, 3.800e+00, 1.000e+00, 4.500e+00, 1.065e+00, 1.385e-03, 1.365e+00, 1.101e+00, 1.123e+00, 1.026e+00, 1.128e+00, 1.165e+00
1.000e-01, 6.000e+03, 1.000e+00, 3.800e+00, 1.000e+00, 4.500e+00, 1.103e+00, 2.185e-03, 1.521e+00, 1.168e+00, 1.186e+00, 1.035e+00, 1.206e+00, 1.267e+00
2.500e-02, 6.000e+03, 1.000e+00, 3.900e+00, 1.000e+00, 4.500e+00, 1.015e+00, 7.835e-04, 1.107e+00, 1.022e+00, 1.038e+00, 1.008e+00, 1.030e+00, 1.042e+00
5.000e-02, 6.000e+03, 1.000e+00, 3.900e+00, 1.000e+00, 4.500e+00, 1.037e+00, 2.048e-03, 1.227e+00, 1.057e+00, 1.085e+00, 1.017e+00, 1.074e+00, 1.103e+00
7.500e-02, 6.000e+03, 1.000e+00, 3.900e+00, 1.000e+00, 4.500e+00, 1.069e+00, 9.089e-04, 1.365e+00, 1.107e+00, 1.144e+00, 1.027e+00, 1.134e+00, 1.187e+00
1.000e-01, 6.000e+03, 1.000e+00, 3.900e+00, 1.000e+00, 4.500e+00, 1.110e+00, 4.531e-03, 1.521e+00, 1.177e+00, 1.214e+00, 1.037e+00, 1.214e+00, 1.297e+00
2.500e-02, 6.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 1.016e+00, 1.641e-03, 1.107e+00, 1.024e+00, 1.045e+00, 1.009e+00, 1.032e+00, 1.049e+00
5.000e-02, 6.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 1.041e+00, 9.576e-04, 1.227e+00, 1.061e+00, 1.099e+00, 1.018e+00, 1.077e+00, 1.118e+00
7.500e-02, 6.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 1.073e+00, 2.446e-03, 1.365e+00, 1.113e+00, 1.164e+00, 1.028e+00, 1.140e+00, 1.208e+00
1.000e-01, 6.000e+03, 1.000e+00, 4.000e+00, 1.000e+00, 4.500e+00, 1.118e+00, 1.262e-03, 1.521e+00, 1.185e+00, 1.241e+00, 1.038e+00, 1.221e+00, 1.326e+00
